frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
1751,1751,118.75,24.05,Moderate Fog/Overcast,86.40,4.359
1756,1756,123.75,25.70,Moderate Fog/Overcast,57.50,-4.775
1761,1761,125.63,28.45,Clear,54.71,-1.933
1766,1766,126.01,28.87,Clear,68.71,-2.903
1771,1771,125.97,30.42,Clear,28.40,-2.386
1776,1776,126.37,31.76,Clear,46.51,4.563
1781,1781,126.28,30.31,Clear,29.71,1.915
1786,1786,123.28,30.36,Clear,26.82,-3.660
1791,1791,120.70,29.06,Clear,32.83,1.189
1796,1796,118.41,27.48,Moderate Fog/Overcast,33.85,-1.878
1801,1801,116.50,26.96,Moderate Fog/Overcast,76.09,-5.535
1806,1806,119.77,39.49,Clear,46.22,-0.967
1811,1811,120.23,26.34,Moderate Fog/Overcast,27.52,0.779
1816,1816,117.05,26.61,Moderate Fog/Overcast,33.71,6.396
1821,1821,115.96,26.37,Moderate Fog/Overcast,47.22,0.824
1826,1826,116.80,25.96,Moderate Fog/Overcast,33.78,4.901
1831,1831,109.95,32.04,Clear,57.44,-9.901
1836,1836,113.20,26.01,Moderate Fog/Overcast,123.91,-8.925
1841,1841,105.43,39.08,Clear,82.13,-7.003
1846,1846,110.70,30.32,Clear,23.47,0.164
1851,1851,109.18,34.86,Clear,61.59,-0.129
1856,1856,116.61,29.96,Clear,239.17,-7.490
1861,1861,118.16,33.35,Clear,32.60,-0.442
1866,1866,124.15,31.71,Clear,57.39,0.514
1871,1871,119.11,32.11,Clear,104.66,-8.784
1876,1876,120.77,36.18,Clear,54.79,-1.059
1881,1881,126.48,30.85,Clear,50.76,1.595
1886,1886,125.05,31.33,Clear,106.89,1.297
1891,1891,124.03,32.47,Clear,26.12,0.096
1896,1896,122.33,36.81,Clear,65.50,-0.703
1901,1901,121.18,35.60,Clear,177.37,2.140
1906,1906,118.16,40.35,Clear,25.14,3.173
1911,1911,120.16,40.21,Clear,34.39,-2.554
1916,1916,121.14,37.70,Clear,34.50,-0.516
1921,1921,119.26,38.23,Clear,66.67,1.578
1926,1926,123.53,35.95,Clear,32.09,3.812
1931,1931,118.10,37.96,Clear,43.26,2.257
1936,1936,119.33,39.48,Clear,96.31,-0.042
1941,1941,118.35,40.41,Clear,35.68,4.310
1946,1946,119.77,33.31,Clear,35.03,-1.533
1951,1951,118.90,31.75,Clear,29.48,0.200
1956,1956,119.62,32.93,Clear,29.53,1.995
1961,1961,118.73,33.19,Clear,32.22,2.345
1966,1966,119.85,31.06,Clear,164.56,-3.295
1971,1971,120.79,29.62,Clear,177.98,1.226
1976,1976,122.96,28.59,Clear,44.51,-3.054
1981,1981,125.09,27.71,Moderate Fog/Overcast,36.29,2.693
1986,1986,125.07,29.14,Clear,34.86,3.731
1991,1991,121.41,32.70,Clear,127.12,2.523
1996,1996,120.70,31.83,Clear,58.18,-0.524
2001,2001,111.17,45.46,Clear,45.39,-2.218
2006,2006,117.46,32.55,Clear,108.17,-0.045
2011,2011,117.83,32.97,Clear,29.68,-1.320
2016,2016,115.66,34.11,Clear,28.22,1.627
2021,2021,114.21,34.80,Clear,48.86,-1.213
2026,2026,109.32,40.21,Clear,32.28,-6.259
2031,2031,111.92,36.56,Clear,30.27,3.191
2036,2036,114.76,35.77,Clear,64.97,7.154
2041,2041,110.35,40.79,Clear,155.27,13.111
2046,2046,115.18,37.50,Clear,30.30,-0.428
2051,2051,114.16,39.15,Clear,109.75,0.628
2056,2056,113.46,39.61,Clear,42.58,1.254
2061,2061,113.30,37.66,Clear,25.83,3.333
2066,2066,111.92,40.11,Clear,27.18,-0.008
2071,2071,110.28,39.14,Clear,163.07,-1.261
2076,2076,110.08,39.66,Clear,33.88,-5.806
2081,2081,110.93,40.20,Clear,28.90,3.796
2086,2086,111.25,37.05,Clear,40.27,3.306
2091,2091,111.88,38.76,Clear,26.21,3.385
2096,2096,112.97,36.28,Clear,60.27,-1.219
2101,2101,113.22,35.71,Clear,70.52,9.425
2106,2106,111.27,39.53,Clear,69.93,2.496
2111,2111,109.49,42.26,Clear,226.74,17.485
2116,2116,111.04,40.83,Clear,28.37,-1.783
2121,2121,112.60,35.42,Clear,28.09,0.230
2126,2126,113.13,36.08,Clear,31.40,2.340
2131,2131,114.07,36.26,Clear,28.39,-2.157
2136,2136,115.20,34.80,Clear,53.42,-1.269
2141,2141,116.57,34.53,Clear,52.44,0.574
2146,2146,114.22,34.83,Clear,38.56,-1.681
2151,2151,112.27,34.77,Clear,300.71,-0.767
2156,2156,112.52,33.08,Clear,56.66,-1.202
2161,2161,113.21,32.48,Clear,39.19,0.700
2166,2166,113.15,35.65,Clear,29.63,3.038
2171,2171,115.01,35.39,Clear,103.92,0.215
2176,2176,117.42,32.81,Clear,48.65,0.339
2181,2181,116.46,32.04,Clear,48.81,0.249
2186,2186,114.37,31.42,Clear,922.72,-1.136
2191,2191,112.99,32.49,Clear,26.49,0.427
2196,2196,112.83,32.14,Clear,172.48,-4.336
2201,2201,111.66,35.37,Clear,36.33,2.928
2206,2206,113.14,32.45,Clear,35.26,3.876
2211,2211,113.33,33.50,Clear,42.65,-3.569
2216,2216,113.33,34.03,Clear,29.55,1.017
2221,2221,113.28,35.29,Clear,71.82,0.511
2226,2226,113.89,34.63,Clear,26.19,3.786
2231,2231,110.19,36.43,Clear,49.34,-4.839
2236,2236,110.71,32.86,Clear,22.83,-0.201
2241,2241,111.00,33.96,Clear,36.52,1.345
2246,2246,114.28,32.06,Clear,35.97,0.241
2251,2251,115.81,32.96,Clear,31.36,1.751
2256,2256,118.16,33.59,Clear,41.93,-0.435
2261,2261,120.60,32.94,Clear,79.39,-2.454
2266,2266,120.36,33.27,Clear,36.96,0.434
2271,2271,120.96,34.09,Clear,28.81,-0.008
2276,2276,122.00,33.36,Clear,44.00,-0.288
2281,2281,124.98,33.71,Clear,41.57,-0.686
2286,2286,120.32,33.52,Clear,36.58,-0.759
2291,2291,113.79,35.31,Clear,31.39,-2.705
2296,2296,114.59,29.91,Clear,32.92,-5.735
2301,2301,126.83,27.34,Moderate Fog/Overcast,510.77,-0.697
2306,2306,127.73,24.62,Moderate Fog/Overcast,31.27,-3.758
2311,2311,127.20,26.81,Moderate Fog/Overcast,82.88,4.146
2316,2316,124.21,19.92,Moderate Fog/Overcast,43.40,2.045
2321,2321,117.35,23.57,Moderate Fog/Overcast,27.86,-1.706
2326,2326,122.10,24.92,Moderate Fog/Overcast,802.98,-31.206
2331,2331,125.33,27.88,Moderate Fog/Overcast,38.94,-6.780
2336,2336,122.25,26.13,Moderate Fog/Overcast,53.21,5.195
2341,2341,117.41,27.81,Moderate Fog/Overcast,20.18,-1.030
2346,2346,118.13,31.27,Clear,87.11,0.098
2351,2351,123.52,28.19,Clear,54.45,3.684
2356,2356,121.86,28.00,Moderate Fog/Overcast,38.62,2.022
2361,2361,118.33,22.93,Moderate Fog/Overcast,37.55,5.815
2366,2366,111.65,28.71,Clear,79.61,-3.190
2371,2371,113.24,24.46,Moderate Fog/Overcast,158.78,0.796
2376,2376,114.12,23.11,Moderate Fog/Overcast,82.69,1.595
2381,2381,116.89,25.63,Moderate Fog/Overcast,85.75,-6.673
2386,2386,114.77,24.62,Moderate Fog/Overcast,32.60,-2.304
2391,2391,114.10,24.60,Moderate Fog/Overcast,1011.16,-33.004
2396,2396,113.56,24.59,Moderate Fog/Overcast,26.18,-0.269
2401,2401,113.06,19.88,Moderate Fog/Overcast,79.53,-8.072
2406,2406,113.48,19.74,Moderate Fog/Overcast,42.20,1.923
2411,2411,114.73,19.02,Moderate Fog/Overcast,58.53,6.659
2416,2416,116.34,18.54,Moderate Fog/Overcast,34.94,0.753
2421,2421,118.79,17.94,Moderate Fog/Overcast,52.69,-0.119
2426,2426,118.27,18.19,Moderate Fog/Overcast,86.70,0.340
2431,2431,115.61,20.47,Moderate Fog/Overcast,195.32,1.252
2436,2436,124.29,21.32,Moderate Fog/Overcast,144.15,-10.029
2441,2441,115.98,20.74,Moderate Fog/Overcast,29.17,-2.939
2446,2446,116.40,19.29,Moderate Fog/Overcast,169.84,-11.058
2451,2451,116.49,19.84,Moderate Fog/Overcast,46.97,-2.243
2456,2456,114.60,21.26,Moderate Fog/Overcast,40.95,-2.006
2461,2461,114.02,22.00,Moderate Fog/Overcast,24.36,3.196
