frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
2426,2426,115.36,44.22,Clear,30.25,2.616
2431,2431,112.55,43.31,Clear,37.41,0.346
2436,2436,114.37,41.66,Clear,25.07,-0.104
2441,2441,117.54,41.60,Clear,70.14,-7.346
2446,2446,117.75,38.79,Clear,74.34,-0.795
2451,2451,121.00,34.71,Clear,78.05,1.038
2456,2456,122.97,34.28,Clear,29.79,-0.618
2461,2461,118.65,34.41,Clear,50.78,-0.388
2466,2466,114.31,34.31,Clear,31.62,2.275
2471,2471,109.83,36.64,Clear,77.13,-3.594
2476,2476,105.72,42.23,Clear,26.48,1.993
2481,2481,119.13,32.76,Clear,68.67,0.377
2486,2486,127.06,32.96,Clear,72.89,0.550
2491,2491,125.49,32.85,Clear,38.30,-0.100
2496,2496,125.83,32.84,Clear,67.37,0.073
2501,2501,120.49,32.36,Clear,26.82,2.512
2506,2506,119.48,31.71,Clear,30.90,1.971
2511,2511,125.43,32.21,Clear,237.66,-0.303
2516,2516,126.47,31.05,Clear,441.97,-0.859
2521,2521,129.29,31.37,Clear,32.10,0.059
2526,2526,116.00,34.24,Clear,76.09,1.505
2531,2531,122.17,30.70,Clear,42.22,0.594
2536,2536,120.32,31.70,Clear,59.56,-0.822
2541,2541,119.70,31.67,Clear,36.18,-1.085
2546,2546,110.58,34.02,Clear,71.48,0.358
2551,2551,124.05,30.68,Clear,914.29,-0.486
2556,2556,124.97,29.05,Clear,37.59,-0.007
2561,2561,125.96,31.57,Clear,380.37,-0.281
2566,2566,124.64,31.47,Clear,32.96,-0.318
2571,2571,123.01,30.54,Clear,179.49,-0.710
2576,2576,122.42,31.84,Clear,33.06,-0.033
2581,2581,122.67,39.17,Clear,890.49,0.360
2586,2586,121.85,28.98,Clear,272.89,-0.394
2591,2591,120.09,32.25,Clear,38.49,1.303
2596,2596,122.74,39.42,Clear,44.85,0.795
2601,2601,128.22,27.64,Moderate Fog/Overcast,92.99,0.169
2606,2606,125.26,27.55,Moderate Fog/Overcast,25.93,0.083
2611,2611,132.50,28.99,Clear,97.13,0.019
2616,2616,130.46,29.11,Clear,45.68,1.542
2621,2621,134.49,29.90,Clear,91.70,3.910
2626,2626,131.48,29.44,Clear,40.14,1.060
2631,2631,135.22,33.65,Clear,57.88,0.734
2636,2636,124.81,29.32,Clear,83.39,-1.326
2641,2641,120.37,29.81,Clear,27.74,2.240
2646,2646,120.90,29.54,Clear,30.49,0.126
2651,2651,119.89,29.24,Clear,83.89,-8.676
2656,2656,120.79,29.22,Clear,93.35,-8.383
2661,2661,122.84,29.12,Clear,46.49,0.135
2666,2666,123.20,30.90,Clear,57.76,-0.149
2671,2671,125.75,29.43,Clear,1096.62,0.823
2676,2676,127.73,27.69,Moderate Fog/Overcast,31.92,-0.417
