frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
906,906,120.72,25.93,Moderate Fog/Overcast,30.68,2.654,part1_grapevine
911,911,119.06,29.14,Clear,28.42,-1.039,part1_grapevine
916,916,108.16,39.32,Clear,116.23,-5.91,part1_grapevine
921,921,105.47,42.93,Clear,37.25,1.66,part1_grapevine
926,926,102.63,46.18,Clear,30.01,5.43,part1_grapevine
931,931,112.08,29.78,Clear,35.72,1.305,part1_grapevine
936,936,114.61,29.2,Clear,65.37,-5.605,part1_grapevine
941,941,115.62,30.04,Clear,29.0,-0.44,part1_grapevine
946,946,111.62,32.81,Clear,97.07,-0.605,part1_grapevine
951,951,110.88,31.84,Clear,32.71,-5.78,part1_grapevine
956,956,108.03,34.91,Clear,38.06,-6.106,part1_grapevine
961,961,110.86,33.99,Clear,52.38,-4.071,part1_grapevine
966,966,109.17,33.19,Clear,32.16,1.481,part1_grapevine
971,971,109.55,31.86,Clear,39.36,2.885,part1_grapevine
976,976,110.38,35.04,Clear,176.32,-1.575,part1_grapevine
981,981,110.97,37.02,Clear,44.98,-4.944,part1_grapevine
986,986,106.7,36.67,Clear,90.41,-1.786,part1_grapevine
991,991,108.0,32.44,Clear,25.87,-0.452,part1_grapevine
996,996,109.6,32.62,Clear,52.58,1.299,part1_grapevine
1001,1001,113.02,29.55,Clear,69.67,-0.553,part1_grapevine
1006,1006,115.51,24.47,Moderate Fog/Overcast,33.95,-0.295,part1_grapevine
1011,1011,114.46,26.54,Moderate Fog/Overcast,73.69,-0.418,part1_grapevine
1016,1016,112.73,32.56,Clear,28.26,-1.265,part1_grapevine
1021,1021,108.39,39.36,Clear,35.89,1.78,part1_grapevine
1026,1026,106.86,36.46,Clear,30.33,-3.688,part1_grapevine
1031,1031,108.71,33.6,Clear,45.5,0.78,part1_grapevine
1036,1036,106.37,35.15,Clear,117.01,1.05,part1_grapevine
1041,1041,107.39,34.16,Clear,122.76,3.794,part1_grapevine
1046,1046,108.33,33.69,Clear,74.01,1.071,part1_grapevine
1051,1051,109.81,33.67,Clear,277.84,-1.453,part1_grapevine
1056,1056,111.02,31.05,Clear,44.76,1.995,part1_grapevine
1061,1061,111.62,32.86,Clear,40.68,3.145,part1_grapevine
1066,1066,113.23,27.04,Moderate Fog/Overcast,42.88,-2.115,part1_grapevine
1071,1071,114.83,22.67,Moderate Fog/Overcast,35.11,1.767,part1_grapevine
1076,1076,113.67,26.3,Moderate Fog/Overcast,27.47,2.589,part1_grapevine
